name;sku;subtitle;description;category1;category2;category3;image;ribbon;ribbonColor;weight;price;recommended_price;quantity;enabled;shipping_freight;fixed_shipping_rate_only;shippingType;shippingMethodMarkup;shippingFlatRate;shippingDisabledMethods;shippingEnabledMethods;upc;brand;seo_title;seo_description;product_url;product_id
אפודה לילדים;"00038";;"<p>אל תגידו לי שלא התאהבתם ממבט ראשון באפודה הסרוגה הקסומה הזו,</p><p>לי אישית היא מזכירה את הילדות שלי ואת הבגדים הסרוגים שסבתא שלי הייתה סורגת לי ואחר כך אמא שלי סרגה לנכדים שלה!</p><p>בתמונה אפשר לראות את האפודה שסרגתי לאנה, לגיל שנה.❤️️</p><p><strong><br></strong></p><p><strong>לפי תרשים המדידה מלאו את המידות בס״מ של ילדכם♥️</strong></p><p><strong><u>כל האפודות נסרגות מ100% חוטי אקריל, ניתנים לכביסה עדינה בלבד.</u></strong></p><p><br></p><p><u>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את האפודה במיוחד אז הכנתה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p><p><br></p>";"עד 100 ש""ח";ילדות מושלמת;ניו-בורן;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1795537429.jpg;;;0.00;90.0;120.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/אפודה-לילדים/p/261491223;261491223
אצבעון חיות;"00033";;"<p>את אצבעון החיות יצרתי לפי הזמנה מיוחדת של הנכדים!</p><p>הם בנו תיאטרון בובות מרהיב וביקשו ממני ליצור עבורם אריה, פיל וצפרדע! סבתא ינה לא אומרת לא.. וחיש מהר נולדו בובות אצבע מתוקות ♥️</p><p>האצבעונים נסרגים באמצעות מסרגה אחת, בחוטי אקריל המתאימים לשימוש ילדים ללא סכנה.</p><p>מידת האצבעון היא סטנדרטית למבוגרים</p><p><br></p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ניו-בורן;"עד 100 ש""ח";;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1732173427.jpg;;;0.00;55.0;;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/אצבעון-חיות/p/249769162;249769162
ארנבון;"00014";;"<p><strong>המחיר הוא עבור בובת ארנב בודדת</strong></p><p>הארנבונים של ינה הם מקסימים, קלילים ומאוד נוחים להחזקה. מתאימים מאוד כזוג!</p><p>כל הארנבונים עשויים מ100% כותנה וניתנים לכביסה במכונת כביסה, 30-40 מעלות.</p><p><strong>יש לציין בעת ההזמנה את צבע הבגד והאם מדובר בארנבון או ארנבונית ;)</strong></p><p>גובה הבובה הוא כ37 ס״מ<br></p><p><br></p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ילדות מושלמת;לאוהבים;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1644049290.jpg;;;0.00;160.0;230.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;rabbit;;https://store35000153.company.site#!/ארנבון/p/234299340;234299340
ארנב רעשן;"00035";;"<p>על בונבון הארנבון שמעתם?</p><p>כזה בונבון!</p><p>אתמול החלטתי שנחתה עליי רוח השטות והחלטתי להפוך את הארנבון לבונבון צבעוני וחמוד</p><p>אז לא רק שהוא צבעוני וחמוד, הוא גם מחביא בבטנו רעשן קטן ונחמד.</p><p>הבובה מתאימה מאוד לתינוקות ופעוטות שאוהבים לשחק ולעוף בדמיון עם בובות מצחיקות.</p><p>אני בטוחה שתהנו מבונבוני כמו שאני נהנתי לסרוג אותו :)<br></p><p><strong>בונבון הארנבון סרוג מ100% חוטי כותנה, ניתן לכבס אותו ביד ב30 מעלות.</strong></p><p><br></p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ניו-בורן;"עד 100 ש""ח";;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1754637580.jpg;;;0.00;70.0;80.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/ארנב-רעשן/p/252907821;252907821
ג׳ירפה מצחיקה;"00006";;"<p>הג'ירפה של ינה עשויה כולה מ100% כותנה, נסרגת באהבה רבה בדיוק כל חברותיה החיות!</p><p>הג'ירפה שתקבלו נסרגה בצבעים קצת שונים מחברתה, בכל זאת אין 2 ג'ירפות זהות בעולם.. ;)</p><p>כל הג'ירפות ניתנות לכביסה במכונת הכביסה שלכם, 30-40 מעלות.</p><p>גובהה של הג'ירפה הוא כ40 ס""מ.</p><p><br></p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ילדות מושלמת;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1646363396.jpg;;;0.00;140.0;180.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/ג׳ירפה-מצחיקה/p/228372582;228372582
דינו הדינוזאור;"00005";;"<p>דינו שלנו תמיד גורם להתרגשות גדולה בקרב כל הנכדים!</p><p>הוא מצחיק, שובב ופטפטן!! יש בו כל מה שהילד שלכם רוצה - נוח לחבק ונוח לשחק :)</p><p>דינו סרוג מחוטי אקריל סינטטיים וגם אותו ניתן לכבס במכונת הכביסה שלכם, 30-40 מעלות והוא כמו חדש :)</p><p><br></p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ילדות מושלמת;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1652648034.jpg;;;0.00;270.0;310.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/דינו-הדינוזאור/p/228366654;228366654
דרדס;"00003";;"<p>לפני הרבה הרבה שנים<br>בתוך יער עבות<br>היה כפר נסתר שבו חיו יצורים כחולים קטנטנים,<br>קראו להם דרדסים<br>הם היו טובי לב.</p><p>קונדסון או שכחני? תחליטו אתם! הדרדס שלנו פשוט הורס מצחוק.</p><p>הדרדס נסרג מחוטי אקריל סינטטיים, ניתן לכבס במכונת הכביסה שלכם, 30-40 מעלות.</p><p>גובה הבובה הוא כ32 ס""מ.</p><p><br></p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p><p><span class=""redactor-invisible-space""></span></p>";ילדות מושלמת;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1600766655.jpg;;;0.00;190.0;230.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/דרדס/p/228373547;228373547
האריה שאהב תות;"00041";;"<p>אני יודעת שהשם הוא לא מקורי במיוחד, אבל מה לעשות? הוא באמת אוהב תות!</p><p>האריה המתוק הזה שובה בקסמיו כל זוג ידיים שאוחזות בו.</p><p>הוא אוהב לטייל, לקרוא ספרים, לשמוע מוזיקה.. וישמח לחלוק אתכם תות או שניים :)</p><p><strong><br></strong></p><p><strong>כל האריות החמודים שלי סרוגים מחוטי פלוש ,100% אקריל.</strong></p><p><strong>ניתן לכבסם ביד בכביסה עדינה בלבד</strong></p><p><br></p><p><u>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את האריה במיוחד אז הכנתו תארך מספר ימים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p><p><br></p>";ילדות מושלמת;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1991803123.jpg;;;0.00;180.0;220.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;האריה שאהב תות;אני יודעת שהשם הוא לא מקורי במיוחד, אבל מה לעשות? הוא באמת אוהב תות! האריה המתוק הזה שובה בקסמיו כל זוג ידיים שאוחזות בו. הוא אוהב לטייל, לקרוא ספרים, לשמוע מוזיקה.. וישמח לחלוק אתכם תות או שניים :) כל האריות החמודים שלי סרוגים מחוטי פלוש ,100% אקריל. ניתן לכבסם ביד בכביסה עדינה בלבד;https://store35000153.company.site#!/האריה-שאהב-תות/p/295507008;295507008
היפופוטמית;"00013";;"<p>ראיתם פעם היפופוטמית שרוקדת בלט? אז תכירו את היפי ההיפית שלנו בוגרת להקת המחול של גן החיות של ינה!!</p><p>היא יפה, עדינה, סבלנית והכי חשוב - אוהבת את כווולם!</p><p>היפי ההיפית סרוגה מ100% כותנה, ניתנת לכביסה במכונת הכביסה הביתית שלכם, 30-40 מעלות.</p><p>גובה הבובה הוא כ20 ס״מ<br></p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1674283169.jpg;;;0.00;180.0;250.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/היפופוטמית/p/234339166;234339166
הפנתר הורוד;"00031";;"<p>מי לא מכיר ואוהב את החיה הכי ורודה ומסתורית?</p><p>הפנתר הורוד ישמח לעזור לכם לפתור כל תעלומה, למצוא את הפושעים וגם לשלוף דברים מהכיסים!</p><p>הפנתר הורוד סרוג מחוטי אקריל סינטטיים, ניתן לכבס אותו במכונת כביסה, 30-40 מעלות</p><p><br></p><p><u><br>שימו לב:</u></p><p>- התשלום בפייבוקס או מזומן</p><p>- ינה סורגת את הבובות במיוחד אז הכנת הבובה תיקח בין שבוע לשבועיים<br></p><p>- לבקשות מיוחדות נא לפנות ישירות לינה בטלפון <a href=""tel:0546405208"" target=""_blank"">0546405208</a> או ב<a href=""https://wa.me/972546405208"" target=""_blank"">ווטסאפ</a></p>";ילדות מושלמת;;;https://d2j6dbq0eux0bg.cloudfront.net/images/35000153/1654618986.jpg;;;0.00;120.0;150.00;;yes;0.00;no;GLOBAL_METHODS;0.00;0.00;;;;;;;https://store35000153.company.site#!/הפנתר-הורוד/p/235558930;235558930
